StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Washington Pl & 6 Ave,7,-3,1,0,-6,1,1,6,6,-4,8,-1,4,2,-2,2,1,0,-1,5,7,-6,3,-3,17,8,19,14,18,19,17,18,22,12,19,15,18,10,10,14,23,18,17,33,23,16,23,17
Johnson St & Gold St,4,3,2,0,1,0,-1,0,4,-2,3,0,-1,5,3,-1,0,1,0,-4,1,1,2,-3,8,7,4,6,1,2,5,2,6,6,5,10,11,5,5,3,4,8,2,4,3,5,4,11
Liberty St & Broadway,-1,-1,6,-3,3,-9,6,-2,-11,-1,-3,-4,7,0,-4,-6,1,2,-8,-2,4,1,-7,4,17,13,20,23,11,23,18,28,20,9,14,18,16,10,22,24,17,16,26,19,18,20,17,18
Pike St & Monroe St,1,1,3,-1,-3,-1,0,1,1,1,1,2,-1,-3,-2,-1,3,-1,0,0,0,2,-4,2,11,3,7,5,11,7,4,3,5,5,5,4,5,7,4,11,9,5,9,2,3,4,8,10
South St & Gouverneur Ln,6,-3,1,3,7,2,3,3,0,1,9,-3,4,6,-4,1,0,-7,-4,5,0,4,2,7,23,15,15,23,15,16,15,15,16,11,13,11,10,10,16,26,28,17,10,27,22,16,18,19
Grand St & Havemeyer St,0,1,-3,-2,-2,-7,2,-1,5,1,1,0,0,1,-5,-1,-3,1,-1,1,4,-2,0,-1,4,9,14,4,10,9,16,3,5,5,1,4,5,1,7,7,7,5,7,7,12,5,7,13
Riverside Dr & W 82 St,3,3,-1,-2,-1,1,-3,-3,0,-6,1,-5,-6,0,-3,2,4,-1,-2,1,0,-2,2,7,11,15,10,12,19,7,9,13,17,14,9,13,15,12,11,8,12,21,10,16,15,16,18,19
St James Pl & Pearl St,0,-4,-3,2,-2,2,3,0,0,-3,1,-1,4,-1,0,-3,0,1,3,-2,1,-1,2,-1,10,11,9,6,4,4,5,6,6,7,7,5,6,5,8,5,6,1,3,6,6,9,8,5
Hanson Pl & St Felix St,5,-1,-4,-10,-2,-2,0,-5,0,2,-2,7,2,7,4,1,5,0,1,1,6,0,6,1,9,13,8,16,16,14,10,11,10,10,14,9,14,11,14,9,15,12,7,9,18,6,10,7
Carlton Ave & Flushing Ave,-1,2,-2,-1,-1,-5,-1,1,1,1,2,-2,2,1,-1,-5,0,-2,-2,-2,-2,0,1,3,3,10,6,7,5,7,1,9,1,5,10,6,8,5,5,5,4,6,4,6,4,6,5,7
E 85 St & 3 Ave,-2,1,0,-4,1,2,2,-5,-2,0,3,6,-2,3,-5,-1,-15,1,-1,5,5,1,7,2,10,11,14,10,15,20,20,17,18,18,13,16,16,9,19,13,23,15,15,19,15,13,23,12
S Portland Ave & Hanson Pl,1,1,-1,-3,0,-4,-2,-3,0,-1,-1,1,4,1,0,-3,0,0,0,-2,2,0,1,2,1,3,3,3,4,6,2,5,0,3,3,3,4,3,4,7,2,4,4,4,8,4,3,4
Harrison St & Hudson St,6,4,0,3,-5,6,1,-3,-4,-5,1,5,-1,5,1,3,-2,2,2,3,0,-3,1,2,16,14,8,15,13,14,13,13,12,15,17,9,17,9,12,15,10,16,12,9,6,11,13,8
Water - Whitehall Plaza,-1,-4,1,0,2,-1,2,-3,-1,6,-2,0,3,-1,0,0,-1,-6,-3,10,1,9,-3,-2,9,12,7,16,10,17,14,15,13,12,8,6,17,5,8,6,11,8,11,16,11,15,13,7
Willoughby St & Fleet St,-3,-3,1,0,0,-4,-2,3,9,-1,-2,-1,-5,-1,0,-2,0,0,2,0,0,0,-3,-2,7,5,3,10,8,8,6,11,15,7,10,5,11,13,4,4,2,4,8,4,7,4,5,4
Cherry St,-1,1,-3,0,-2,2,-5,-1,2,7,-4,-2,5,-1,-2,1,-4,0,-2,-4,-2,3,2,2,7,3,5,4,8,7,9,3,4,10,6,2,9,5,2,7,14,10,8,10,4,5,4,4
Bank St & Washington St,0,0,-2,3,-4,1,3,-3,-4,-3,-4,0,4,5,-1,-5,1,-1,0,1,-5,11,0,-4,12,14,10,15,16,14,17,17,12,13,14,12,26,21,17,17,15,21,20,17,11,23,22,23
Clinton Ave & Flushing Ave,2,2,-1,-3,0,-1,0,-6,0,-2,0,-2,0,0,-1,-2,1,0,3,6,-1,-1,1,3,8,2,3,5,2,3,4,6,8,2,6,2,2,2,1,4,3,8,5,10,3,1,5,3
5 Ave & E 73 St,8,1,1,-7,-8,-7,1,-2,4,-3,3,0,-4,0,1,-1,-2,4,-1,-1,-1,0,3,3,20,23,21,23,21,20,13,25,17,13,20,19,19,27,15,22,16,20,28,23,23,22,20,26
Leonard St & Grand St,1,-2,-1,3,2,-4,0,0,-2,2,1,-3,0,-1,-2,0,0,2,0,1,-1,-2,1,0,3,4,5,3,2,4,0,2,4,6,5,3,2,3,4,0,6,4,2,3,3,2,1,2
Hope St & Union Ave,3,1,-2,1,-1,-1,-1,-1,2,-1,3,2,-2,3,1,0,-1,-3,0,-1,1,1,1,5,5,4,4,5,3,1,3,5,2,3,5,4,4,7,5,2,3,3,3,3,3,1,5,7
Fulton St & Utica Ave,0,1,0,-1,-2,0,3,0,-4,-1,-1,1,1,2,3,5,0,-1,0,-1,-2,2,2,0,2,3,2,3,2,0,3,0,4,4,2,4,1,2,3,5,2,1,2,1,3,2,2,6
Old Slip & Front St,6,-1,-4,12,-4,-1,-3,8,2,-5,-7,-2,3,5,-4,6,-4,-1,4,3,0,0,-2,-3,20,17,12,16,23,19,13,18,15,15,21,12,23,9,20,12,17,22,14,15,21,12,14,11
Broad St & Bridge St,3,1,3,-1,5,0,-1,0,0,2,8,-1,-1,5,0,1,4,8,6,6,5,4,13,6,11,11,12,5,7,16,9,10,18,12,18,15,9,15,12,15,14,12,14,8,19,12,15,14
Washington Park,2,-2,1,1,-1,-3,0,1,0,-1,-1,-3,-2,1,-1,-3,0,2,-5,-2,1,-2,1,2,10,4,3,3,3,3,2,1,4,3,3,5,6,3,9,5,4,2,9,2,5,4,7,6
Metropolitan Ave & Bedford Ave,-2,1,3,-2,2,0,-1,1,-1,2,1,-5,0,-5,4,-3,-6,8,4,8,-5,3,-3,0,10,9,5,8,10,11,7,5,11,6,9,7,2,13,8,11,10,14,4,14,9,17,7,10
State St & Smith St,1,5,0,-2,-4,-2,-3,1,-5,-7,0,-1,5,-4,-2,5,2,4,-4,-1,2,4,0,-4,15,8,10,8,12,9,9,11,15,15,6,5,11,8,12,11,6,6,18,5,14,8,10,12
3 Ave & E 62 St,0,1,-1,-6,-6,-7,1,5,0,1,-4,0,4,-8,-5,-12,0,3,-14,-1,-4,2,1,10,10,10,13,12,16,15,15,15,18,12,20,18,20,20,21,19,12,17,20,23,14,14,17,22
Broadway & W 37 St,-4,-5,11,1,-5,-2,4,-3,-1,2,2,-9,4,1,-2,-11,-7,-1,0,-4,5,8,-10,0,16,21,19,19,17,26,22,23,25,21,14,15,22,22,21,19,19,7,18,18,15,16,18,20
Clermont Ave & Park Ave,1,2,-1,-2,0,0,1,-2,-2,1,1,4,1,-5,0,0,2,1,0,-1,-1,2,1,-2,3,2,1,2,0,0,5,2,2,5,1,4,3,9,2,2,2,1,0,4,1,2,1,4
Penn Station Valet,-11,-4,-5,-6,-9,-12,-3,-5,-6,-23,-10,-17,-16,-19,-12,-7,-10,-8,-30,-9,-6,-14,-9,-3,37,40,49,46,39,36,39,51,50,58,46,55,42,47,50,41,43,37,50,47,36,48,33,45
Franklin St & Dupont St,-1,-2,-2,2,0,-1,2,0,-1,-3,2,-2,1,-1,1,-1,2,-2,2,-1,-4,0,2,-1,5,2,2,2,4,1,4,2,1,3,8,2,3,3,5,1,6,6,2,1,4,2,4,3
Myrtle Ave & Marcy Ave,0,-1,1,1,-2,-1,-2,-2,-1,-2,0,0,0,-2,-2,-1,0,1,0,1,-3,-1,-1,0,2,1,1,1,2,1,2,2,1,2,0,4,4,4,4,3,0,1,2,3,3,1,3,0
Henry St & Atlantic Ave,0,1,-4,4,-1,-6,0,-2,2,3,-3,2,5,1,1,3,-2,-2,3,2,3,0,1,1,2,6,6,10,5,8,6,8,8,5,11,12,11,9,5,9,10,6,5,6,7,6,7,7
Broadway & Berry St,1,3,-2,-3,-1,-1,-3,3,4,0,-2,-2,0,-1,5,2,1,-2,0,-2,4,0,3,-3,9,3,12,7,9,3,11,5,6,6,2,10,6,9,7,6,5,6,4,10,8,8,11,7
Columbia Heights & Cranberry St,-4,-2,-2,-1,-1,0,1,0,1,-5,-2,-1,1,-4,-3,0,-1,0,1,-1,-1,-2,-1,0,7,6,4,3,5,8,3,0,3,5,4,5,3,10,3,2,3,0,1,3,3,4,5,4
E 33 St & 5 Ave,8,-5,-4,-6,-12,-4,-3,-9,-11,-5,4,-3,5,-7,13,-1,-7,3,-2,0,16,7,8,0,40,25,30,30,28,34,23,33,39,23,34,29,29,29,36,39,19,30,42,32,40,35,28,28
Spruce St & Nassau St,-7,-1,3,4,4,4,1,-2,-2,0,3,0,-5,-9,-10,-6,-6,4,-1,-2,-7,1,3,-1,19,13,9,10,10,18,15,14,16,14,15,24,15,17,16,20,20,26,17,8,13,19,15,18
DeKalb Ave & S Portland Ave,-5,0,1,0,1,-2,0,-1,0,-3,3,-4,0,1,1,-4,0,0,-1,-1,-2,-5,-6,0,5,1,3,8,5,2,2,3,6,7,5,4,4,3,1,8,2,2,3,1,2,5,6,6
Leonard St & Boerum St,2,1,-1,-1,1,-2,1,1,0,0,0,0,1,-2,-3,1,3,-1,-2,-1,-1,0,2,0,2,3,1,3,1,2,1,1,0,0,0,0,1,2,3,2,3,1,2,1,1,0,2,2
Avenue D & E 12 St,3,-3,0,-3,4,2,0,4,-1,-1,-1,0,-1,-2,2,-4,-1,-3,2,-2,2,0,-1,-5,3,3,4,5,8,4,0,4,5,3,5,2,3,6,4,6,3,3,6,11,4,4,7,7
Kent Ave & N 7 St,-1,2,7,0,4,8,-4,1,2,6,1,6,-6,-1,-5,3,-2,4,2,-2,1,1,2,-2,7,10,19,10,12,23,15,15,10,23,11,10,12,12,15,9,8,12,9,12,18,23,14,8
Avenue D & E 8 St,1,0,1,-2,1,1,-1,4,4,-2,1,0,-1,-5,-3,1,2,2,3,1,3,-1,-1,1,5,6,3,8,3,3,7,8,4,6,7,8,3,5,5,5,4,8,4,6,11,5,1,3
Leonard St & Bayard St,2,0,-1,1,-2,0,0,0,-1,-4,-3,0,0,2,1,0,-3,-3,2,-2,2,0,-1,-1,4,2,2,1,3,0,2,4,5,4,5,2,2,2,1,2,3,7,2,2,4,2,5,3
Lafayette Ave & Fort Greene Pl,0,0,1,0,-2,-3,-2,1,1,0,1,2,0,3,-1,0,1,3,-1,0,0,4,-1,0,6,2,5,4,4,3,4,7,9,0,5,2,6,5,3,6,3,3,1,4,3,10,3,4
Railroad Ave & Kay Ave,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-1,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Park Ave & St Edwards St,0,1,1,1,0,3,-2,0,0,0,0,0,-1,0,-2,0,0,-1,-1,0,0,0,-1,2,0,1,1,1,0,3,2,0,0,2,0,0,1,0,2,0,0,1,1,0,0,0,1,2
Union Ave & Wallabout St,1,1,1,0,1,0,1,0,0,0,1,0,3,1,1,1,1,0,3,0,-2,0,0,-1,1,5,3,2,1,2,3,0,0,0,3,0,7,1,1,1,1,0,3,0,2,2,2,1
Lewis Ave & Madison St,-1,1,0,-1,0,1,-3,-1,2,-1,3,0,-1,0,1,1,0,1,0,-1,2,-5,-1,2,1,8,0,3,4,3,5,3,4,5,5,4,1,0,1,1,2,5,2,1,4,5,3,4
Lexington Ave & Classon Ave,0,-1,1,0,1,0,1,-1,-1,-2,0,0,-1,1,1,-1,1,-2,-1,-1,-1,2,-1,-2,2,3,1,0,7,2,1,3,3,6,2,0,3,3,1,7,5,2,3,1,5,4,1,2
DeKalb Ave & Skillman St,1,1,1,1,2,4,2,-1,1,0,1,2,2,-3,1,1,-3,0,3,-2,0,-1,0,-3,3,3,2,3,5,4,2,5,1,6,3,2,4,3,2,6,7,2,4,2,4,3,4,5
Emerson Pl & Myrtle Ave,-1,-1,-4,-1,0,0,-1,-4,0,1,2,-3,0,0,1,-1,-2,4,1,-2,1,1,-5,-3,6,3,4,7,4,6,11,10,4,7,6,7,4,4,3,3,2,6,1,4,5,1,5,7
Cadman Plaza W & Pierrepont St,4,1,-3,0,2,-4,-3,-3,1,3,-2,2,0,-1,-5,1,-1,-1,0,1,3,-1,0,0,4,3,3,4,6,4,3,5,5,3,4,4,6,7,9,3,1,3,0,5,3,3,2,4
Pearl St & Anchorage Pl,4,0,-1,3,-2,1,-3,-4,-2,0,-2,0,4,1,1,-3,-1,-2,2,5,-2,10,2,-1,6,4,3,11,6,9,9,10,8,6,2,6,13,7,3,11,3,10,6,9,4,10,8,10
Clermont Ave & Lafayette Ave,-1,-2,0,0,4,-1,-4,2,-4,2,-2,-1,-3,0,3,1,2,-1,-3,3,-3,-2,0,3,5,4,0,5,4,3,8,2,6,6,6,3,3,8,3,7,2,1,3,4,3,6,2,5
Duffield St & Willoughby St,-1,-4,-2,1,0,-3,-1,0,-3,0,0,4,0,0,-1,1,-1,1,5,0,0,-1,-1,-4,5,6,2,1,6,9,3,4,5,6,7,8,4,5,5,5,11,3,7,6,6,6,11,8
46 Ave & 5 St,2,-1,0,2,5,5,1,-2,-2,-1,-3,2,-1,-2,-4,-3,1,-4,0,-4,3,2,0,-3,6,1,6,6,11,11,5,4,12,5,7,4,5,4,6,6,7,11,5,6,5,6,4,7
45 Rd & 11 St,0,-1,-1,-2,-1,1,-1,-4,-3,1,-1,-1,3,1,0,4,0,0,-3,1,-1,-3,1,3,2,1,1,6,3,3,3,6,7,2,5,5,3,1,4,4,2,4,3,1,5,5,1,3
Grand St & Greene St,1,7,10,-2,4,-3,9,-2,-2,-1,4,5,0,2,1,2,11,4,5,-5,-1,-12,6,4,17,21,18,20,10,23,17,25,16,17,18,20,28,24,32,20,19,24,19,23,19,28,18,26
Fulton St & Rockwell Pl,2,-1,1,2,-5,1,-1,-1,2,0,0,1,2,3,6,2,-2,5,5,-1,5,0,3,-3,6,5,7,4,7,3,7,8,2,2,10,7,4,7,8,6,6,9,7,7,8,8,3,5
Union Ave & Jackson St,0,-2,2,-2,4,0,-1,2,-2,4,-5,2,2,-1,-4,4,1,0,0,0,-1,-1,-3,-2,2,2,2,4,4,2,5,2,4,6,7,4,2,5,6,4,1,2,0,3,1,5,3,6
Monroe St & Classon Ave,0,2,0,0,-1,0,0,0,0,-2,-1,-2,-1,0,0,-2,1,-1,0,-2,2,1,-1,0,0,2,0,0,1,0,0,2,2,2,3,2,1,2,0,2,1,1,1,4,2,1,1,2
Market St & Cherry St,-4,-3,-4,2,-1,0,-3,-1,2,7,3,-4,1,0,0,-2,-1,1,3,-1,-5,1,6,4,12,9,12,8,5,12,11,5,8,9,5,6,3,7,8,12,9,3,5,5,7,11,9,6
India St & East River,0,0,-1,-3,-3,4,-1,1,2,2,-4,2,-2,-4,0,-1,-2,1,-1,-1,0,1,1,1,3,2,1,3,3,6,3,1,2,2,4,2,2,8,4,1,2,3,3,1,0,1,3,1
Albany Ave & Fulton St,2,0,0,-1,1,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,2,0,0,1,1,3,1,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,1
Bushwick Ave & Powers St,0,0,-1,-2,-1,5,-1,0,0,-1,2,-2,0,2,0,-2,1,3,2,-4,0,-1,-1,-2,2,6,3,6,3,7,3,2,0,3,4,2,2,2,2,4,3,5,8,6,2,1,5,2
Clinton St & Tillary St,3,4,-6,-1,0,-3,-1,1,-1,1,2,-7,-4,5,2,1,-5,2,0,9,0,-2,-4,2,5,6,12,5,6,7,3,7,2,7,12,7,6,9,8,4,9,6,6,9,2,6,6,12
Greene Ave & Throop Ave,0,1,-2,-1,1,1,1,-1,-1,1,-2,1,-1,1,-2,0,-2,0,2,0,0,1,-2,1,0,1,4,3,1,3,3,3,1,1,6,1,1,1,2,0,4,0,2,0,2,1,2,3
Macon St & Nostrand Ave,0,-2,0,0,-1,-1,-3,2,0,-1,-1,-2,0,0,-3,0,2,0,-5,2,3,3,1,-2,2,2,4,2,3,7,3,10,4,5,11,4,4,2,9,6,6,6,5,4,9,4,5,3
Myrtle Ave & St Edwards St,-2,1,0,-2,-3,5,1,-1,-1,1,4,-4,-1,-1,2,-1,-3,-1,-6,0,-1,-1,-3,4,4,3,0,4,3,7,1,1,5,3,4,4,1,1,4,3,5,1,6,4,5,1,5,4
Sands St & Navy St,1,0,1,0,-1,0,0,1,0,2,0,0,1,0,0,0,1,-1,0,2,0,2,3,-1,1,0,1,0,1,0,0,1,2,2,2,0,3,0,2,0,1,1,0,2,2,2,3,1
Old Fulton St,-7,1,2,2,-2,-4,-6,-6,5,-1,-5,-5,0,-4,2,4,-2,3,-1,5,9,3,5,8,14,8,4,4,4,8,10,13,9,9,13,10,14,8,12,12,6,9,7,14,16,15,11,12
Bedford Ave & Nassau Ave,-4,0,0,2,-8,0,-3,2,-2,1,5,0,4,3,2,-5,1,2,0,0,2,1,1,0,10,8,6,16,8,10,13,12,10,5,7,10,10,9,2,9,10,14,2,6,6,7,5,4
31 St & Thomson Ave,0,3,-2,0,0,0,0,0,1,0,0,-1,-1,2,-1,1,0,-1,1,-1,1,1,-2,-1,0,3,2,0,2,0,2,0,1,0,2,1,1,2,1,1,2,1,1,5,1,1,2,3
Frost St & Meeker St,-2,2,2,2,-1,0,0,-2,2,-1,-2,2,-1,0,1,0,-1,0,0,-1,0,0,-3,2,2,2,2,2,1,4,2,2,2,1,2,2,1,2,1,0,1,4,0,3,2,0,3,2
Willoughby Ave & Hall St,2,-2,1,1,2,1,0,-4,3,-3,-1,1,2,0,-1,0,-4,-4,-1,0,-3,0,-2,1,4,4,5,3,4,3,8,6,9,5,3,1,16,2,3,8,4,8,6,2,7,4,4,10
Cadman Plaza E & Tillary St,-2,0,0,1,-3,-4,-3,0,-6,-2,4,-3,3,0,-4,2,-1,5,0,2,0,1,1,1,4,2,2,9,5,4,3,4,6,6,4,6,9,6,6,2,4,11,2,6,2,1,1,10
Lorimer St & Broadway,-1,3,0,0,0,3,0,2,-1,0,-1,1,1,0,2,0,0,1,0,0,0,3,-1,-1,1,3,0,0,2,3,0,2,1,2,1,1,1,0,4,0,4,1,0,4,0,5,1,3
Graham Ave & Herbert St,1,-1,-1,0,0,1,1,0,0,-1,0,0,1,1,-2,0,2,0,0,0,-1,0,-1,1,3,3,1,2,0,1,1,2,0,1,2,0,1,3,2,2,4,0,2,2,3,2,1,1
Halsey St & Tompkins Ave,0,-3,1,-2,-4,-1,0,-3,1,-3,-1,-1,0,-1,1,-2,-1,1,0,-1,4,0,-2,0,0,3,1,2,4,1,0,5,3,5,3,1,2,5,2,2,1,1,2,1,6,0,2,0
3 Ave & Schermerhorn St,-1,2,0,-3,-3,2,-1,1,1,-4,0,1,1,0,2,0,-2,-2,0,0,1,1,1,2,5,2,3,7,5,2,1,5,3,6,6,3,3,0,2,2,2,4,2,4,3,3,1,2
Humboldt St & Varet St,0,0,-1,0,-1,0,0,-2,-1,-2,0,-2,3,1,-3,-1,0,1,-2,2,2,0,1,3,2,0,1,4,1,6,0,2,3,2,4,2,3,3,3,1,4,1,2,2,4,6,3,5
Graham Ave & Withers St,2,0,1,-3,0,1,2,-1,2,0,-1,-1,-1,1,1,-1,0,2,-2,-2,1,-1,0,1,2,2,1,3,0,3,2,3,2,2,1,1,3,3,1,1,2,2,6,4,1,3,4,3
Franklin Ave & Myrtle Ave,1,2,6,1,1,0,1,2,-1,3,-3,0,-2,3,2,1,-2,1,-3,-2,0,-2,0,0,1,4,6,3,1,0,3,4,3,5,3,4,4,3,6,1,2,3,3,2,2,2,0,2
Park Ave & Marcus Garvey Blvd,0,0,0,2,-2,0,0,0,1,0,0,1,-2,0,1,0,1,0,0,-1,0,0,-1,0,0,0,0,2,4,0,0,2,3,0,2,1,2,2,1,0,3,0,0,1,2,0,3,2
Putnam Ave & Nostrand Ave,0,0,-1,-1,-1,-1,-4,-3,-1,1,0,0,0,0,4,-1,-2,-1,-1,1,1,-2,0,0,0,0,1,3,1,3,4,3,1,3,0,0,2,0,6,1,2,1,1,3,3,2,2,0
Brooklyn Bridge Park - Pier 2,2,1,-1,2,0,1,1,1,0,-1,0,0,-1,3,-2,-1,1,-1,-1,0,0,-4,1,-3,2,1,3,2,2,7,2,1,0,1,0,1,2,6,2,2,1,4,3,0,0,4,5,3
Nassau St & Navy St,1,2,1,5,3,-1,1,2,3,1,0,3,2,2,2,2,-1,-1,-2,2,-2,-3,-1,2,1,4,1,5,3,3,1,6,3,1,4,3,2,4,9,8,5,1,4,2,6,9,5,6
Hancock St & Bedford Ave,1,-1,1,-1,-1,1,1,0,-2,-1,0,0,0,-2,-3,0,-2,-4,4,-1,-1,0,2,-1,1,1,3,3,5,1,3,2,2,3,2,0,0,2,3,0,2,4,4,1,1,2,2,1
Lewis Ave & Decatur St,-1,-1,0,2,1,0,0,1,1,-1,0,0,-1,0,2,0,0,0,0,1,0,0,0,1,1,1,0,2,1,0,0,1,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,1
Greene Ave & Nostrand Ave,0,1,-2,0,0,-1,-1,0,1,0,1,1,0,1,0,-2,0,2,2,-1,0,-1,1,0,2,2,4,0,0,1,1,4,1,2,1,1,2,1,0,2,2,2,2,1,2,1,1,2
Jay St & Tech Pl,4,-3,-5,-10,0,6,2,8,0,-2,-3,-2,-2,4,1,3,8,4,-1,2,5,0,-1,3,12,19,9,12,12,12,8,13,8,8,13,16,16,12,14,14,16,8,11,12,26,11,7,9
Marcus Garvey Blvd & Macon St,1,1,0,-1,1,0,0,0,2,0,0,2,0,0,-2,0,-1,0,-1,0,0,0,1,-1,1,1,0,3,1,0,0,0,2,2,0,2,2,0,2,0,1,0,1,2,0,2,1,3
McGuinness Blvd & Eagle St,-5,-3,4,4,8,2,-1,-1,0,-1,-2,-2,0,-1,-3,3,3,2,-1,2,1,0,0,0,7,3,4,4,10,2,1,1,2,1,6,2,4,3,5,5,13,6,3,4,4,4,8,4
Kingston Ave & Herkimer St,1,0,0,2,0,1,0,1,2,0,0,-2,0,-2,1,0,2,0,2,0,-3,1,0,1,1,0,0,2,0,1,0,1,2,0,2,2,0,2,1,0,2,0,2,0,3,2,0,3
Kosciuszko St & Tompkins Ave,1,-1,-1,1,1,0,-1,1,0,2,-1,-1,2,-1,-1,0,-2,0,0,1,0,0,0,-1,1,3,1,5,1,4,3,1,0,2,1,3,4,3,1,0,2,0,0,1,4,4,4,1
Division Ave & Hooper St,0,0,-3,0,2,-2,0,0,0,0,-2,1,1,-1,1,-1,-3,2,0,2,1,0,-2,1,0,0,3,0,2,2,2,0,0,2,2,1,1,1,3,1,3,2,2,2,1,2,2,1
Lewis Ave & Kosciuszko St,1,1,0,-2,-1,-1,0,-1,0,-1,0,0,1,-1,-2,1,1,1,-1,0,0,0,0,0,2,1,2,4,1,1,0,1,0,1,0,2,1,1,2,2,1,1,3,0,2,0,2,0
NYCBS Depot - SSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bedford Ave & S 9 St,-2,-1,2,2,0,0,1,-1,0,-2,0,0,0,0,1,0,2,-1,1,0,-1,-4,-3,-1,4,3,2,2,0,0,1,1,2,2,2,0,0,0,1,2,2,1,1,0,1,4,3,5
Willoughby Ave & Walworth St,0,-1,0,-1,-1,0,1,-2,-1,-2,-1,0,0,-1,3,0,-2,-2,3,-1,-2,0,1,-3,0,1,0,1,1,2,1,2,5,2,1,2,0,3,3,2,4,2,3,1,4,2,3,3
Willoughby Ave & Tompkins Ave,-1,2,-1,1,1,1,1,1,-1,0,-1,0,0,-1,2,0,1,-4,-3,-3,0,2,-2,-1,3,2,1,1,1,1,3,1,1,2,5,0,0,1,2,2,3,6,3,3,1,2,6,3
N 15 St & Wythe Ave,2,1,-2,0,-1,1,-1,0,1,-1,0,1,2,-1,-2,0,-3,1,1,0,2,-1,2,-1,2,1,2,2,3,3,1,0,1,1,2,1,2,1,2,2,3,3,1,0,2,1,5,3
Tompkins Ave & Hopkins St,-1,1,2,-1,0,0,0,1,0,0,-2,-2,0,0,0,0,3,-2,-2,0,1,-1,-1,0,1,1,2,1,2,2,2,1,2,2,2,2,2,0,2,2,3,2,4,0,3,3,1,0
47 Ave & 31 St,0,-1,0,0,0,0,1,-1,2,0,-2,1,0,2,-1,0,0,0,0,0,0,-1,1,2,0,1,0,0,0,0,3,1,2,4,2,1,3,2,1,0,0,0,0,0,0,1,1,2
McKibbin St & Manhattan Ave,-2,-1,0,0,2,-1,3,1,1,1,-1,-1,0,1,2,0,1,-1,-1,0,0,3,-1,-2,2,1,0,0,2,1,5,1,1,3,1,1,2,1,2,0,1,1,3,2,2,3,3,2
9 St & 44 Rd,0,-1,2,-2,2,-1,-3,0,2,-1,-1,-1,1,0,1,0,1,0,0,-1,1,0,0,2,0,1,4,4,2,3,3,0,2,1,1,1,1,0,1,0,1,0,2,1,1,0,0,2
Nostrand Ave & Myrtle Ave,1,0,0,0,-1,2,0,1,-1,0,0,0,-3,1,1,0,-2,-1,0,0,0,0,2,1,1,2,0,0,1,2,0,1,1,0,0,0,3,1,1,4,2,1,0,2,0,0,2,1
Marcy Ave & Lafayette Ave,0,1,0,1,0,-1,0,0,0,1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2,0,0,2
E 2 St & 2 Ave,3,3,-2,-2,-2,5,1,-1,6,3,-4,4,0,2,1,2,4,2,4,0,-7,3,-6,5,11,16,12,22,16,19,13,21,24,25,13,18,20,28,27,18,20,14,18,16,23,19,12,18
Pulaski St & Marcus Garvey Blvd,1,0,-1,1,1,1,-1,0,0,2,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,1,2,1,1,3,1,3,0,2,2,0,1,2,1,2,0,0,2,0,1,0,0,0,0
Throop Ave & Myrtle Ave,-1,0,0,0,-1,0,2,0,0,-1,2,0,0,-1,-1,0,-1,-1,-2,1,0,-1,0,0,1,0,0,0,1,0,2,0,0,1,2,0,0,1,1,4,1,1,2,3,0,1,0,0
NYCBS Depot - DEL,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,1,0,1
NYCBS Depot - FAR,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
W 76 St & Columbus Ave,-2,-1,1,3,0,-1,0,-3,1,1,1,-1,-2,3,-1,2,0,-3,3,-1,0,-3,-1,-2,4,3,7,3,2,3,4,5,5,1,3,3,2,3,5,4,4,5,5,5,4,3,5,2
