StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Meserole Ave & Manhattan Ave,-1,-2,0,-3,2,-3,-3,-2,-6,0,-1,0,-1,0,3,1,1,-1,2,-1,5,-3,0,0,3,6,4,5,7,7,5,6,8,6,7,4,3,4,11,11,3,9,2,9,7,3,6,4
E 4 St & 2 Ave,-3,0,2,-2,4,4,8,3,5,10,16,-7,2,3,-2,3,-3,-5,5,5,0,-8,-2,-3,17,24,20,20,20,24,22,19,25,20,27,23,18,23,16,33,25,14,19,23,22,31,22,19
E 75 St & 3 Ave,-5,-2,-2,-3,3,4,1,-1,-3,-3,2,-5,-2,-5,-8,-2,0,2,1,0,-5,-4,-6,4,13,10,16,12,15,20,13,19,23,21,10,21,16,17,14,16,14,21,10,12,17,8,16,13
1 Ave & E 62 St,-3,-3,-9,-5,-1,1,-3,2,2,-2,0,4,6,-2,-3,3,2,-4,-1,-4,5,-3,2,-7,19,15,21,23,20,15,21,28,24,16,28,24,28,31,20,21,33,20,15,20,17,13,18,25
E 43 St & 2 Ave,-4,0,-1,-4,-7,-5,-5,-8,-4,3,3,-4,4,8,2,-2,-1,-6,-5,2,-1,3,-4,-1,12,16,19,22,13,23,19,18,16,11,9,12,14,25,22,20,23,20,15,23,13,17,10,22
W 33 St & 7 Ave,6,8,4,6,16,-2,-3,1,17,9,3,6,-2,14,0,4,-4,9,2,6,8,5,-3,3,30,48,46,36,44,44,35,29,53,37,43,60,34,46,46,42,36,40,36,52,42,37,53,35
6 Ave & W 33 St,0,2,4,1,8,-6,-2,-1,5,4,0,0,3,-4,-9,6,-2,-4,-5,2,3,-9,-7,8,20,34,40,55,40,30,37,39,41,30,40,52,47,44,35,49,44,40,31,48,39,47,45,58
West Thames St,1,-3,1,-5,-3,-5,-1,0,-4,0,-4,0,-1,0,0,4,2,4,-1,-2,-1,4,-3,4,25,29,24,21,25,20,13,21,16,28,22,21,16,26,25,22,26,19,18,22,27,23,21,16
E 7 St & Avenue A,-3,4,6,-4,-8,-1,8,-7,-1,-3,-2,2,-5,-3,12,3,-16,-6,8,-9,-3,-6,9,-2,37,34,30,50,38,35,42,42,52,43,50,29,38,39,32,41,62,40,42,35,32,30,45,50
1 Ave & E 15 St,2,9,1,11,-1,2,1,2,7,6,-6,13,4,-6,0,-1,0,7,9,1,2,-9,8,8,32,33,23,28,35,34,33,40,37,44,27,33,50,37,31,23,31,27,37,33,30,34,30,44
W 20 St & 7 Ave,-2,5,-7,-3,3,4,-2,7,-9,6,-4,2,5,-1,6,-2,7,0,-1,5,-2,-6,-1,7,46,37,47,28,32,40,33,39,35,36,30,34,31,25,28,34,35,38,37,33,38,30,36,37
W 42 St & 8 Ave,-14,-9,-1,-6,10,8,5,9,-11,-14,-7,-3,-1,3,-21,-2,-9,-16,-4,-15,-11,-3,-16,-10,40,57,49,44,44,36,45,59,65,46,37,43,51,43,53,54,47,70,44,61,41,29,46,52
W 46 St & 11 Ave,1,10,-2,0,5,-1,-9,-5,4,3,-1,1,-6,-4,-1,10,4,2,-9,-5,-2,-4,9,2,25,26,22,22,19,31,33,17,25,27,21,19,22,16,18,28,22,24,27,25,21,18,17,20
Nassau Ave & Russell St,0,-1,3,-4,3,0,2,3,-1,1,3,5,-4,0,-2,-2,-7,-1,-7,2,-4,2,-7,-1,4,9,9,6,3,6,8,13,3,5,11,7,10,8,10,8,15,5,11,11,10,6,9,9
Driggs Ave & N Henry St,1,-4,2,-2,-1,-2,1,-1,-4,0,-3,0,2,-2,1,-4,0,-7,-3,-4,-1,-1,-1,0,5,6,2,10,9,8,9,5,4,6,7,6,6,8,11,6,4,9,9,6,1,3,7,6
Greenpoint Ave & Manhattan Ave,1,0,-4,3,2,-1,-6,1,2,3,-2,-1,-3,-5,-1,-2,1,2,0,0,-4,3,0,3,7,6,6,7,6,5,10,5,6,9,6,5,5,9,8,4,7,6,4,5,5,5,6,5
W 13 St & 7 Ave,-6,3,-2,1,10,0,-6,1,-1,6,-2,5,-1,-9,3,3,2,-4,1,7,3,4,-5,-4,24,27,18,21,33,35,26,25,17,24,30,19,27,23,27,27,22,17,31,21,31,24,32,22
44 Dr & Jackson Ave,0,0,0,1,-1,3,0,-2,-1,-1,-1,-2,-4,0,3,-2,-5,1,2,7,0,1,2,-2,4,2,8,7,5,7,4,4,5,3,3,4,6,2,5,2,6,6,2,7,6,12,5,6
E 27 St & 1 Ave,-5,1,0,-2,-2,4,1,1,0,-3,0,-7,2,11,-9,-3,1,-2,-6,2,1,-8,-8,-2,21,19,18,20,10,22,17,19,22,17,14,19,12,23,13,23,15,22,20,24,19,20,16,21
